ANNEES;CODDEP;POP_IMMIGRES;TAUX_IMMIGRATION;PART_FRANCAIS;PART_ETRANGER;PART_HOMMES;PART_FEMMES;PART_0_14;PART_15_29;PART_30_44;PART_45_59;PART_60_74;PART_75_PLUS;PART_HOMMES_15_29;PART_FEMMES_15_29;PART_CS1_AGRICULTEURS;PART_CS2_ARTISANS_COMMERCANTS;PART_CS3_CADRES_PROF_SUP;PART_CS4_PROF_INTERMEDIAIRES;PART_CS5_EMPLOYES;PART_CS6_OUVRIERS;PART_CS7_RETRAITES;PART_CS8_AUTRES;POP_TOTALE;taux_crime_cheques;taux_crime_plaintes;taux_crime_vols_vehicules;taux_crime_stupefiants;taux_crime_vols_victime;taux_crime_violences;taux_crime_autres;taux_crime_infractions_pub;Taux_chomage;MEDIANE;RAPPORT_INTERDECILE
2006;14;18304,03209;0,027264852;0,982109957;0,017890043;0,480112;0,519888;0,18540308;0,197827813;0,200424246;0,205716837;0,128526941;0,082101083;0,098291842;0,099535971;0,010512242;0,027244573;0,051442739;0,105005051;0,141744236;0,125426159;0,210604831;0,141919817;671341,6896;84,45773721;935,7381043;809,2749317;301,4858203;1204,453727;386,8372902;529,3876509;536,6864677;0,08725;16426;4,6
2006;15;2338,071256;0,015620035;0,990224382;0,009775618;0,488005569;0,511994431;0,144388333;0,147417133;0,195637444;0,221500292;0,16721189;0,123844908;0,077045411;0,070371722;0,053185606;0,035596123;0,030453092;0,083615441;0,133260496;0,116444662;0,290437526;0,11293869;149684,1279;204,4304926;477,6725563;248,523344;183,720214;479,0087033;182,3840669;284,5993132;297,2927098;0,06075;14667;4,4
2006;16;14991,9323;0,043199427;0,968294584;0,031705416;0,483894335;0,516105665;0,162236693;0,157576722;0,198882777;0,218027443;0,153856869;0,109419496;0,081047012;0,07652971;0,018035874;0,030050427;0,039399016;0,09278048;0,13235064;0,13700429;0,263279574;0,124497919;347040,0756;86,73349886;645,4585962;751,4982227;176,9248116;821,2308032;255,3019269;351,8325652;566,7933298;0,08525;15817;4,6
2006;17;16785,95005;0,028026993;0,981546559;0,018453441;0,481323474;0,518676526;0,161682531;0,158238273;0,191234933;0,211915573;0,164908746;0,112019944;0,08107964;0,077158633;0,016924736;0,034578649;0,040598504;0,093177001;0,140096881;0,109317705;0,274823498;0,128784645;598920,8389;186,1681758;1049,38743;1170,939387;240,0985083;1287,983236;330,4276411;448,3063246;768,8829142;0,09275;15961;4,6
2006;18;14690,12499;0,046683317;0,968663041;0,031336959;0,484258524;0,515741476;0,167152386;0,158004022;0,196018002;0,216093189;0,158132613;0,104599788;0,081356371;0,076647651;0,013501086;0,025680824;0,039734521;0,094141665;0,137872891;0,13119755;0,261772424;0,129834612;314676,1165;69,27758053;653,3702091;829,7420311;217,6841407;826,2463733;270,1190067;436,3216425;714,7031129;0,08325;16249;4,6
2006;19;10638,94847;0,044262635;0,967658976;0,032341024;0,485905512;0,514094488;0,14418241;0,153891025;0,189912833;0,214803386;0,166953895;0,130256452;0,082804201;0,071086823;0,023657964;0,032347328;0,038473908;0,093277293;0,138180567;0,116473197;0,291643737;0,12017232;240359,583;141,038687;530,4552388;477,2016933;240,8890849;675,6543591;262,9393811;490,5150797;410,6347613;0,05925;16146;4,2
2006;21;29967,36749;0,0579451;0,962136035;0,037863965;0,482688651;0,517311349;0,173103111;0,205359361;0,203141764;0,206229982;0,127297087;0,084868695;0,100816928;0,104542433;0,011195307;0,025051815;0,060611978;0,117411357;0,140311519;0,121820466;0,206920585;0,143042202;517168,2745;96,29360975;943,6000313;832,2242899;254,0759101;1150,302579;345,9222246;548,5641985;652,7855954;0,07075;17679;4,3
2006;22;13310,23971;0,023315948;0,98222268;0,01777732;0,482696241;0,517303759;0,173995827;0,154014889;0,19079568;0,209586718;0,161890713;0,109716174;0,079618844;0,074396045;0,024954752;0,030411787;0,041437263;0,092638413;0,121202966;0,119184504;0,275823168;0,119494368;570864,1839;114,3879785;665,3071093;665,1319363;142,9411799;889,7037409;296,9182597;357,0026037;440,5601316;0,0705;16144;4,1
2006;23;4074,089135;0,033016604;0,973766413;0,026233587;0,486712008;0,513287992;0,138111626;0,133442333;0,180482393;0,220689497;0,179222717;0,148051435;0,069751088;0,063691245;0,046284383;0,028780596;0,029691316;0,075624027;0,129106519;0,102218973;0,332473255;0,113298664;123395,1615;43,76184556;342,8011236;257,7086461;139,3895822;440,8600738;198,5491141;268,2439052;327,4034372;0,07325;14338;4,7
2006;24;22559,0919;0,055832244;0,956945367;0,043054633;0,480543729;0,519456271;0,152435474;0,1400271;0,187265861;0,219534762;0,174602764;0,12613404;0,071397073;0,068630027;0,021758138;0,03762837;0,03431741;0,08206716;0,132458567;0,118282677;0,29913423;0,1210706;404051,3201;85,88017975;624,1781364;532,1106238;146,0210549;922,6550723;217,2991292;337,0858928;558,344915;0,083;15370;4,7
